Logo (ruta),Título,Descripción,Inscripciones,Vistas,Rating general,Rating por estrellas,Rating del contenido
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/94/0cf46185cb4c85813d1cf31dd843bb/Finanzas-3.jpg,Evaluación de inversiones en Bienes de Capital ,"En el curso presupuesto de largo plazo o de bienes de capital el administrador financiero aplicarás los elementos del valor del dinero a través del tiempo, para poder proyectar los estados financieros a una fecha futura, considerando las variables económicas que pueden afectar un proyecto de inversión. De igual forma serás capaz de calcular el valor presente neto, la tasa interna de rendimiento como elementos primordiales para la evaluación de los proyectos de inversión en bienes de capital de una empresa.",7935,21991,4.2,"[{'Estrellas': 5, 'Porcentaje': '56.04'}, {'Estrellas': 4, 'Porcentaje': '24.18'}, {'Estrellas': 3, 'Porcentaje': '10.61'}, {'Estrellas': 2, 'Porcentaje': '5.01'}, {'Estrellas': 1, 'Porcentaje': '4.12'}]",89
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/06/42c763011c404d967a7e44ce6fd0d9/EvalPeligroR2_FINAL.jpg,Evaluación de peligros y riesgos por fenómenos naturales,"Reconocer el conocimiento básico sobre los factores físicos y sociales que condicionan el riesgo de una sociedad por fenómenos extremos de origen natural (sismos, huracanes, etc.) y promover las acciones necesarias para reducir el impacto de los desastres en una comunidad.",16035,27566,4.8,"[{'Estrellas': 5, 'Porcentaje': '85.40'}, {'Estrellas': 4, 'Porcentaje': '11.80'}, {'Estrellas': 3, 'Porcentaje': '1.71'}, {'Estrellas': 2, 'Porcentaje': '0.85'}, {'Estrellas': 1, 'Porcentaje': '0.21'}]",96
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bc/d5b812bb8840a5b090b7ccdde48f82/EvaluacionEdu_1.jpg,Evaluación educativa del y para el aprendizaje en educación superior,"La visión contemporánea del aprendizaje como un proceso activo, constructivo y flexible, además de la diversidad de experiencias de aprendizaje y contextos donde estas se desarrollan, exige al profesorado el diseño de instrumentos de prácticas de evaluación que correspondan a estas necesidades.Identificar los conocimientos que adquieren los alumnos y considerar las estrategias más adecuadas para evaluarlos, ayudará a que los profesores implementen mejores prácticas de evaluación, sustentadas en un enfoque formativo, en el que los estudiantes reciban realimentación frecuente sobre su aprendizaje, y a partir de ello puedan construir activamente su conocimiento y juzgar críticamente su formación.
A través de las experiencias de aprendizaje se pretende que los participantes realicen un ejercicio de reflexión crítica de conceptos tales como: evaluación del y para el aprendizaje, evaluación formativa, evaluación diagnóstica, evaluación sumativa, criterios para una buena evaluación, exámenes de alto impacto y sus implicaciones educativas, aspectos legales, éticos y sociales de la evaluación.",14810,25508,4.8,"[{'Estrellas': 5, 'Porcentaje': '85.49'}, {'Estrellas': 4, 'Porcentaje': '12.97'}, {'Estrellas': 3, 'Porcentaje': '0.76'}, {'Estrellas': 2, 'Porcentaje': '0.25'}, {'Estrellas': 1, 'Porcentaje': '0.50'}]",98
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/56/3c320f762b4864a4c8d9048d1de8e0/EvaluacionEdu_3.jpg,Evaluación para el aprendizaje: Enfoque cualitativo,"La formación en educación media superior y superior implica no solamente el aprendizaje de conocimientos, sino también el desarrollo de habilidades y la formación de actitudes y valores, para lo cual es fundamental contar con instrumentos, estrategias y técnicas que le permitan al profesor obtener información sobre el progreso de sus estudiantes y así contribuir a la toma de decisiones para alcanzar el logro de los aprendizajes esperados, para ello el uso sistemático de instrumentos de evaluación de carácter cualitativo es frecuente en educación superior, particularmente en las áreas sociales y de la salud, como por ejemplo en Biología, Trabajo social, Psicología, Medicina, Antropología, entre otras.Por esto es necesario que los docentes conozcan algunos de los instrumentos más empleados dentro de la evaluación cualitativa que pueden ayudar a la formación y a la evaluación de sus estudiantes, al mismo tiempo que obtienen evidencias respecto al avance y los logros de cada uno de ellos. 

Este curso pretende que a través de ciertos recursos didácticos (videos, actividades, ejercicios y preguntas para reflexionar) el docente explore las posibilidades que ofrecen los instrumentos para realizar evaluaciones de carácter cualitativo.",2390,11984,4.9,"[{'Estrellas': 5, 'Porcentaje': '90'}, {'Estrellas': 4, 'Porcentaje': '8.33'}, {'Estrellas': 3, 'Porcentaje': '1.66'}]",0
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/90/95199cd827425e9a6a9668f06b6679/EvaluacionEdu_2.jpg,Evaluación para el aprendizaje: Enfoque cuantitativo,"La perspectiva contemporánea de la educación ha considerado que dentro del proceso educativo es indispensable la evaluación como una parte esencial de la enseñanza  y el aprendizaje. Realizar este proceso de manera adecuada requiere de una formación especializada que nos permita conocer tanto el proceso en sí mismo, así como los elementos involucrados en él y la pertinencia de hacer uso de las técnicas e instrumentos más adecuados y necesarios para cada tipo de evaluación. El conocimiento de los instrumentos de evaluación es una parte fundamental de la formación para la evaluación para el aprendizaje, para fines didácticos existen dos manera de clasificar a estos instrumentos: cuantitativos y cualitativos. 

A través de una serie de videos, actividades y ejercicios, se pretende que en este curso conozcas el concepto, las características, el diseño, la elaboración y el uso de resultados de cuatros de los instrumentos más utilizados en el enfoque cuantitativo de la evaluación para el aprendizaje: las pruebas objetivas, la lista de cotejo, el quiz y la rúbrica. 

Al término del curso: 
El participante diseñará los instrumentos de evaluación para el aprendizaje que integran el enfoque cuantitativo para sustentar evaluaciones pertinentes, altamente formativas y éticas.",2797,22295,4.8,"[{'Estrellas': 5, 'Porcentaje': '80.82'}, {'Estrellas': 4, 'Porcentaje': '16.43'}, {'Estrellas': 3, 'Porcentaje': '1.36'}, {'Estrellas': 2, 'Porcentaje': '1.36'}]",0
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/56/2186047a2f4ad79453c4c12cf01d9c/FarmacoOdonto_FINAL.jpg,Farmacología para odontólogos,"La farmacología es fundamental en la atención de un paciente en odontología, ya que el control del dolor, las patologías causadas por microorganismos y las de carácter sistémico son del quehacer diario del odontólogo.En este curso, aprenderás sobre los medicamentos más usados en odontología, así como sus indicaciones, contraindicaciones e interacciones medicamentosas.",28348,38798,4.8,"[{'Estrellas': 5, 'Porcentaje': '82.16'}, {'Estrellas': 4, 'Porcentaje': '13.15'}, {'Estrellas': 3, 'Porcentaje': '3.07'}, {'Estrellas': 2, 'Porcentaje': '1.16'}, {'Estrellas': 1, 'Porcentaje': '0.43'}]",97
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/52/b3a220506241d7a38fa8624222af08/FarmacovigilancaOcular_FINAL.jpg,Farmacovigilancia ocular,"En este curso, el participante identificará entre una reacción adversa al medicamento, un evento temporalmente asociado a vacunas y las consecuencias adversas de las tecnologías médicas. Se busca la mejora de la seguridad del paciente al disminuir el riesgo de pérdida de la visión o afecciones oculares secundarias a través de la valoración del caso y la aplicación de técnicas diagnósticas oculares. La farmacovigilancia ocular es una actividad que puede realizar cualquier profesional de la salud, en el entendido de que busca la efectividad del fármaco y el seguimiento de problemas comunes poco identificados en la población, los cuales dependen de las potenciales interacciones medicamentosas (fármaco-fármaco, fármaco-alimento, fármaco-planta medicinal). Al término del curso:

•	Promoverás la actividad de identificación y notificación de reacciones adversas a medicamentos (RAM), eventos temporalmente asociados a vacunas (ESAVI), y consecuencias del uso de dispositivos médicos (tecnovigilancia).",7034,14259,4.8,"[{'Estrellas': 5, 'Porcentaje': '84.23'}, {'Estrellas': 4, 'Porcentaje': '13.58'}, {'Estrellas': 3, 'Porcentaje': '1.63'}, {'Estrellas': 2, 'Porcentaje': '0.54'}]",0
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d3/bc870cf2164d5facb8114be96f9fb6/FinanzasPersonales_FINAL.jpg,Finanzas personales,"Este curso, ofrecido por la UNAM, dotará a sus participantes con las herramientas que le permitirán llevar a cabo una planeación financiera personal y entender la necesidad de salvaguardar su patrimonio y recursos financieros, así como los requerimientos mínimos que se deben considerar para tomar buenas decisiones financieras.",373471,213465,4.8,"[{'Estrellas': 5, 'Porcentaje': '80.92'}, {'Estrellas': 4, 'Porcentaje': '16.13'}, {'Estrellas': 3, 'Porcentaje': '2.05'}, {'Estrellas': 2, 'Porcentaje': '0.54'}, {'Estrellas': 1, 'Porcentaje': '0.33'}]",99
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/05/b2039234f1461e81a17266d6ba8955/FuncionesAlgebraicas_FINAL.jpg,Funciones algebraicas y trascendentes ,"En este curso estudiarás las funciones algebraicas y trascendentes desde su definición y notación.Resolverás problemas de la vida cotidiana que se modelan a través de funciones:
Polinomiales
Racionales
Con Radicales
Exponenciales
Logarítmicas
Trigonométricas
Para las cuales utilizarás conceptos y procedimientos de aritmética, álgebra y trigonometría, así como de la geometría euclidiana y de la analítica.
Utilizarás un Software dinámico (libre) que te apoyará en la exploración de la representación gráfica de la función para comprender las relaciones entre los parámetros de la representación algebraica.
Realizarás generalizaciones para obtener la regla de correspondencia de la función.
Deducirás e inferirás gracias a este estudio apoyado siempre en las tres representaciones:
Tablas numéricas
Gráfica
Expresión algebraica",3293,13082,4.7,"[{'Estrellas': 5, 'Porcentaje': '81.63'}, {'Estrellas': 4, 'Porcentaje': '10.20'}, {'Estrellas': 3, 'Porcentaje': '6.12'}, {'Estrellas': 2, 'Porcentaje': '2.04'}]",0
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c1/06c59464ea43ed861ba6de02c05821/FundamentosAgro_FINAL.jpg,Fundamentos de agrotecnología,"Las nuevas tendencias en la industria agroalimentaria, el cambio climático y las necesidades globales de alimentación hacen que la forma de cultivar, hacer llegar los alimentos a la industria y de allí a las mesas de los consumidores cambien. La tecnología aporta nuevas herramientas que, empleadas de forma adecuada y precisa, potencian y coadyuvan los diferentes procesos de la producción agrícola Al usar nuevas tecnologías se aprovechan las economías de escala permitiendo el acceso para grandes como y pequeños productores lo que deriva una mayor cantidad y calidad de alimentos para contribuir con la seguridad alimentaria de todos en el futuro próximo.",6498,15394,4.8,"[{'Estrellas': 5, 'Porcentaje': '79.64'}, {'Estrellas': 4, 'Porcentaje': '17.69'}, {'Estrellas': 3, 'Porcentaje': '1.76'}, {'Estrellas': 2, 'Porcentaje': '0.88'}]",97
